id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20576765,"

যে ৫ কারণে ভারতের নির্বাচনে নজর থাকবে বাংলাদেশের
",2277,1.0,1.0,100.0
20573906,"
সময়-অসময় 
হামাসের কাছে যুদ্ধে হেরেছে ইসরাইল!
",1641,2.0,0.7179600886917961,71.7960088691796
20573807,"
সময়-অসময় 
হামাসের কাছে যুদ্ধে হেরেছে ইসরাইল!
",1627,3.0,0.7117516629711752,71.17516629711751
20573962,চতুর্থ শিল্প বিপ্লব ও আমরা,1351,4.0,0.5893569844789357,58.93569844789357
20579050,"

বাংলাদেশের সাগরে কত প্রজাতির বিষাক্ত সাপ আছে?
",1082,5.0,0.4700665188470067,47.006651884700666
20601945,"

ভোলায় অজানা রোগে আক্রান্ত ৩৬ শিক্ষার্থী বিষয়ে যা জানা যাচ্ছে
",979,6.0,0.424390243902439,42.4390243902439
20576770,"বিশ্বের সবচেয়ে দূষিত শহরের ১০০টি রয়েছে এশিয়ায়, শুধু ভারতেই ৮৩টি",975,7.0,0.42261640798226163,42.26164079822616
20573800,"

রোজায় ডায়াবেটিস
",961,8.0,0.4164079822616408,41.64079822616408
20573887,"

জাহাজ ও নাবিক উদ্ধারে আন্তর্জাতিক নৌবাহিনীর অভিযানের খবরে উদ্বেগ
	জাহাজ উদ্ধারের জন্য সরকার কৌশলে এগোচ্ছে : পররাষ্ট্রমন্ত্রী
",949,9.0,0.41108647450110863,41.108647450110865
20573786,"
	সংবাদ সম্মেলনে মেজর হাফিজ  
জনগণের দৃষ্টি ঘুরাতেই  বিএনএম সৃষ্টির কাল্পনিক কাহিনী
",892,10.0,0.3858093126385809,38.58093126385809
20573923,জ্বালানি তেলের দাম কমার সুফল মিলছে না,855,11.0,0.3694013303769401,36.94013303769401
20573926,৩২ বছর বিএনপি করার পর কেন ছাড়বো,821,12.0,0.35432372505543236,35.432372505543235
20573795,"

রুহের  ব্যাধির সঠিক পরিচর্যা 
",797,13.0,0.3436807095343681,34.368070953436806
20573931,ডেঙ্গু মোকাবিলায় হাসপাতাল প্রস্তুত রাখার নির্দেশ,789,14.0,0.3401330376940133,34.01330376940133
20575245,"

ভারতের একজন মন্ত্রী কেন নাগরিকত্বের আবেদন করতে চাচ্ছেন
",778,15.0,0.3352549889135255,33.52549889135255
20603720,"

এডলফ হিটলারকে গ্রেফতার করেছিলেন জন এফ কেনেডি
",753,16.0,0.32416851441241684,32.41685144124168
20573780,"

ডিএসসিসির যন্ত্রপাতি কেনায় অনিয়ম-দুর্নীতির অভিযোগ
",723,17.0,0.31086474501108646,31.086474501108647
